1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ATT_ROL,FC_ATT_PIT,FC_ATT_YAW,FC_ALT_FU,FC_ALT_BAR,FC_ALT_ADD,FC_SenserTMP,FC_MotoPWM1,FC_MotoPWM2,FC_MotoPWM3,FC_MotoPWM4,
0,0,0,0,0,0,0,0,0,57.7599983215332,-29.5100002288818,107.839996337891,73.7600021362305,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,57.7599983215332,-29.5100002288818,107.839996337891,73.7600021362305,-0.479999989271164,-12.210000038147,27.2999992370605,0,0,0,0,
0,0,0,0,0,0,0,0,0,39.1300010681152,-17.9200000762939,121.370002746582,73.7600021362305,-0.479999989271164,-12.210000038147,27.2999992370605,0,0,0,0,
38,-316,2496,164,28,-3,272,961,780,39.1300010681152,-17.9200000762939,121.370002746582,73.7600021362305,-0.479999989271164,-12.210000038147,27.2999992370605,0,0,0,0,
38,-316,2496,164,28,-3,272,961,780,39.1300010681152,-17.9200000762939,121.370002746582,73.7600021362305,-0.479999989271164,-13.4200000762939,27.2999992370605,0,0,0,0,
38,-316,2496,164,28,-3,272,961,780,36.7700004577637,-16.1399993896484,123.029998779297,73.7600021362305,-0.479999989271164,-13.4200000762939,27.2999992370605,0,0,0,0,
53,-331,2626,157,20,-4,288,1042,798,36.7700004577637,-16.1399993896484,123.029998779297,73.7600021362305,-0.479999989271164,-13.4200000762939,27.2999992370605,0,0,0,0,
53,-331,2626,157,20,-4,288,1042,798,34.25,-14.7600002288818,126.629997253418,73.7600021362305,-0.479999989271164,-13.4200000762939,27.2999992370605,0,0,0,0,
212,-427,3195,30,6,12,264,1113,752,34.25,-14.7600002288818,126.629997253418,73.7600021362305,-0.479999989271164,-13.4200000762939,27.2999992370605,0,0,0,0,
212,-427,3195,30,6,12,264,1113,752,34.25,-14.7600002288818,126.629997253418,73.7600021362305,-0.439999997615814,-1.5,27.3999996185303,0,0,0,0,
212,-427,3195,30,6,12,264,1113,752,33.0499992370605,-15.0100002288818,127.900001525879,73.7600021362305,-0.439999997615814,-1.5,27.3999996185303,0,0,0,0,
174,-403,3269,-10,0,17,329,1092,789,33.0499992370605,-15.0100002288818,127.900001525879,73.7600021362305,-0.439999997615814,-1.5,27.3999996185303,0,0,0,0,
174,-403,3269,-10,0,17,329,1092,789,33.0499992370605,-15.0100002288818,127.900001525879,73.7600021362305,-0.419999986886978,-5.30000019073486,27.2999992370605,0,0,0,0,
61,-172,3323,-121,-74,10,329,1052,734,33.0499992370605,-15.0100002288818,127.900001525879,73.7600021362305,-0.419999986886978,-5.30000019073486,27.2999992370605,0,0,0,0,
61,-172,3323,-121,-74,10,329,1052,734,33.0499992370605,-15.0100002288818,127.900001525879,73.7600021362305,-0.360000014305115,3.79999995231628,27.3999996185303,0,0,0,0,
61,-172,3323,-121,-74,10,329,1052,734,27.2199993133545,-17.5300006866455,132.789993286133,73.7600021362305,-0.360000014305115,3.79999995231628,27.3999996185303,0,0,0,0,
74,-58,3326,-144,-94,8,353,961,834,27.2199993133545,-17.5300006866455,132.789993286133,73.7600021362305,-0.360000014305115,3.79999995231628,27.3999996185303,0,0,0,0,
74,-58,3326,-144,-94,8,353,961,834,27.2199993133545,-17.5300006866455,132.789993286133,73.7600021362305,-0.340000003576279,5.80000019073486,27.3999996185303,0,0,0,0,
74,-58,3326,-144,-94,8,353,961,834,25.9599990844727,-17.9699993133545,133.169998168945,73.7600021362305,-0.340000003576279,5.80000019073486,27.3999996185303,0,0,0,0,
99,57,3296,-173,-110,10,313,931,807,25.9599990844727,-17.9699993133545,133.169998168945,73.7600021362305,-0.340000003576279,5.80000019073486,27.3999996185303,0,0,0,0,
99,57,3296,-173,-110,10,313,931,807,22.7299995422363,-19.7299995422363,133.25,73.7600021362305,-0.340000003576279,5.80000019073486,27.3999996185303,0,0,0,0,
-16,531,2755,-319,-137,29,442,850,916,22.7299995422363,-19.7299995422363,133.25,73.7600021362305,-0.340000003576279,5.80000019073486,27.3999996185303,0,0,0,0,
-16,531,2755,-319,-137,29,442,850,916,22.7299995422363,-19.7299995422363,133.25,73.7600021362305,-0.25,-7.71000003814697,27.3999996185303,0,0,0,0,
-16,531,2755,-319,-137,29,442,850,916,21.7600002288818,-19.8999996185303,132.839996337891,73.7600021362305,-0.25,-7.71000003814697,27.3999996185303,0,0,0,0,
-16,531,2755,-319,-137,29,442,850,916,21.7600002288818,-19.8999996185303,132.839996337891,73.7600021362305,-0.25,-7.71000003814697,27.3999996185303,0,0,0,0,
-16,531,2755,-319,-137,29,442,850,916,21.7600002288818,-19.8999996185303,132.839996337891,73.7600021362305,-0.25,-7.71000003814697,27.3999996185303,0,0,0,0,
-163,856,2002,-393,-148,10,532,576,944,21.7600002288818,-19.8999996185303,132.839996337891,73.7600021362305,-0.25,-7.71000003814697,27.3999996185303,0,0,0,0,
-163,856,2002,-393,-148,10,532,576,944,21.7600002288818,-19.8999996185303,132.839996337891,73.7600021362305,-0.209999993443489,13.2200002670288,27.3999996185303,0,0,0,0,
-163,856,2002,-393,-148,10,532,576,944,17.9699993133545,-18.3700008392334,128.919998168945,73.7600021362305,-0.209999993443489,13.2200002670288,27.3999996185303,0,0,0,0,
