0,0,0,0,0,0,0,0,0,-0.699999988,-0.200000003,-36.40999985
-36,-140,8399,-15,25,24,85,65,-61,-0.699999988,-0.200000003,-36.40999985
-36,-140,8399,-15,25,24,85,65,-61,-0.829999983,-0.200000003,-38.86999893
-30,-142,8410,-16,25,24,90,58,-66,-0.829999983,-0.200000003,-38.86999893
-30,-142,8410,-16,25,24,90,58,-66,-0.839999974,-0.170000002,-34.86000061
-30,-142,8410,-16,25,24,90,58,-66,-0.839999974,-0.25,-35.09999847
-30,-142,8410,-16,25,24,90,58,-66,-0.779999971,-0.209999993,-34.52999878
-18,-126,24792,-16,25,24,86,60,-128,-0.779999971,-0.209999993,-34.52999878
-18,-126,24792,-16,25,24,86,60,-128,-0.75,-0.100000001,-36.65999985
-18,-126,24792,-16,25,24,86,60,-128,-0.769999981,-0.109999999,-34.45000076
-37,-129,8408,-15,25,24,92,56,-64,-0.769999981,-0.109999999,-34.45000076
-37,-129,8408,-15,25,24,92,56,-64,-0.769999981,-0.209999993,-33.50999832
-37,-129,8408,-15,25,24,92,56,-64,-0.75999999,-0.230000004,-33.36000061
-37,-129,8408,-15,25,24,92,56,-64,-0.790000021,-0.270000011,-33.74000168
-36,-131,8391,-15,25,24,88,66,-66,-0.790000021,-0.270000011,-33.74000168
-36,-131,8391,-15,25,24,88,66,-66,-0.779999971,-0.209999993,-38.38999939
-36,-131,8391,-15,25,24,88,66,-66,-0.790000021,-0.280000001,-34.52000046
-36,-131,8391,-15,25,24,88,66,-66,-0.74000001,-0.170000002,-36.88000107
-36,-131,8391,-15,25,24,88,66,-66,-0.810000002,-0.200000003,-32.41999817
-36,-131,8391,-15,25,24,88,66,-66,-0.819999993,-0.119999997,-34.58000183
-36,-131,8391,-15,25,24,88,66,-66,-0.730000019,-0.180000007,-34.04999924
-36,-131,8391,-15,25,24,88,66,-66,-0.720000029,-0.239999995,-36.41999817
-51,-136,8394,-14,25,24,90,60,-66,-0.720000029,-0.239999995,-36.41999817
-51,-136,8394,-14,25,24,90,60,-66,-0.810000002,-0.289999992,-35.61999893
-34,-133,8391,-16,26,24,85,55,-65,-0.810000002,-0.289999992,-35.61999893
-34,-133,8391,-16,26,24,85,55,-65,-0.790000021,-0.189999998,-34.93999863
-41,-136,8394,-15,25,24,91,59,-63,-0.790000021,-0.189999998,-34.93999863
-41,-136,8394,-15,25,24,91,59,-63,-0.810000002,-0.230000004,-34.95999908
-41,-136,8394,-15,25,24,91,59,-63,-0.800000012,-0.200000003,-34.70000076
-41,-136,8394,-15,25,24,91,59,-63,-0.819999993,-0.270000011,-33.97999954
-41,-136,8394,-15,25,24,91,59,-63,-0.790000021,-0.289999992,-37.45000076
